customer_id,recency,history,mens,womens,newbie,discount_offered,purchased
C1133,23,174.46,1,1,1,1,0
C1134,13,245.9,0,0,1,0,1
C1135,10,240.56,1,1,0,0,1
C1136,25,128.45,0,0,1,0,1
C1137,33,104.09,1,0,1,1,0
C1138,52,320.22,0,1,1,0,1
C1139,8,173.43,0,0,1,1,1
C1140,37,221.07,1,0,0,0,1
C1141,33,296.72,1,0,1,1,1
C1142,18,129.76,0,1,1,1,1
C1143,25,412.4,0,1,1,1,1
C1144,43,418.31,1,1,1,0,1
C1145,4,317.38,1,1,0,1,1
C1146,51,456.8,0,0,0,1,1
C1147,17,20.39,0,0,0,1,0
C1148,33,90.03,0,1,1,1,1
C1149,41,202.53,1,1,0,0,1
C1150,29,301.75,0,1,1,1,1
C1151,53,118.4,0,1,1,0,1
C1152,36,262.68,0,1,0,1,1
C1153,40,431.99,1,0,1,0,1
C1154,32,333.55,1,1,1,1,1
C1155,38,153.39,0,0,0,1,0
C1156,50,474.71,1,0,1,1,1
C1157,27,231.38,1,1,1,0,1
C1158,11,114.48,0,0,1,1,0
C1159,56,135.82,0,0,0,1,1
C1160,56,343.42,1,1,1,1,0
C1161,17,193.68,0,0,1,0,1
C1162,27,325.14,1,1,1,0,1
C1163,36,65.9,0,0,0,0,1
C1164,26,399.97,0,0,0,1,1
C1165,55,334.51,0,1,1,0,1
C1166,23,50.59,1,0,0,1,0
C1167,26,244.54,0,1,1,0,1
C1168,8,269.62,0,0,0,1,1
C1169,23,316.74,1,0,1,1,1
C1170,25,274.84,0,1,0,1,1
C1171,50,194.11,0,1,1,0,1
C1172,58,492.17,0,0,0,0,1
C1173,47,70.41,1,0,0,0,1
C1174,15,151.02,1,0,0,1,0
C1175,21,410.68,0,0,1,1,1
C1176,24,352.95,1,0,0,0,0
C1177,14,289.31,1,0,0,1,1
C1178,30,26.27,1,0,1,1,1
C1179,49,380.55,0,0,0,1,1
C1180,32,89.58,1,0,0,1,1
C1181,12,247.21,1,0,1,0,1
C1182,10,457.14,0,0,0,1,1
C1183,28,120.24,1,0,1,1,0
C1184,56,181.52,0,0,0,1,1
C1185,43,435.77,0,1,0,0,1
C1186,31,464.93,0,0,1,0,1
C1187,57,381.97,0,1,0,0,1
C1188,9,101.16,0,1,0,0,1
C1189,7,380.85,1,1,1,0,1
C1190,35,60.39,1,0,0,0,0
C1191,6,215.68,1,0,0,1,1
C1192,14,160.64,1,0,0,1,1
C1193,10,333.7,0,1,0,1,1
C1194,45,434.2,0,0,0,0,1
C1195,21,297.95,0,0,0,0,1
C1196,14,31.16,0,1,1,1,1
C1197,50,137.25,1,0,0,1,1
C1198,37,101.68,1,1,0,0,0
C1199,27,23.86,0,1,1,1,0
C1200,14,60.97,1,1,0,1,1
C1201,2,313.09,0,1,1,0,1
C1202,36,334.15,0,0,0,0,1
C1203,50,321.9,1,0,1,1,0
C1204,60,323.09,0,1,0,0,1
C1205,51,402.13,0,0,1,1,1
C1206,27,436.38,1,1,1,1,1
C1207,15,272.74,0,0,0,0,1
C1208,20,107.37,0,0,0,1,1
C1209,30,496.52,0,1,1,0,1
C1210,57,272.25,1,1,1,1,1
C1211,2,381.77,0,0,0,0,1
C1212,25,448.68,1,1,0,0,1
C1213,54,107.57,1,1,0,0,0
C1214,16,309.81,1,1,0,0,1
C1215,60,233.4,1,0,1,1,1
C1216,43,491.49,1,1,1,0,1
C1217,40,403.36,0,0,1,0,1
C1218,17,32.45,1,0,1,0,1
C1219,35,55.34,0,0,0,0,0
C1220,52,480.28,0,1,1,1,1
C1221,51,472.91,0,1,0,0,1
C1222,49,27.12,0,0,0,0,0
C1223,57,123.01,0,0,1,1,0
C1224,46,469.42,0,1,0,1,1
C1225,45,395.67,0,0,0,0,1
C1226,14,451.01,0,1,0,1,1
C1227,60,425.06,0,0,0,0,1
C1228,8,107.08,1,0,1,1,1
C1229,22,464.82,0,0,1,0,1
C1230,31,334.78,1,1,0,1,1
C1231,38,366.49,1,1,0,1,1
C1232,6,499.94,1,0,0,1,1
C1233,38,337.86,0,0,0,1,1
C1234,42,464.22,0,0,0,1,1
C1235,16,304.9,1,1,0,1,1
C1236,18,65.68,0,0,0,1,1
C1237,43,414.24,0,0,1,0,1
C1238,55,50.62,0,0,1,1,0
C1239,19,490.16,1,0,1,1,1
C1240,60,394.52,1,0,1,1,1
C1241,54,52.46,1,0,1,0,0
C1242,43,321.22,1,0,1,1,1
C1243,19,212.72,0,1,0,1,1
C1244,25,118.06,1,1,1,0,1
C1245,55,99.06,1,1,0,1,0
C1246,40,188.57,0,1,0,1,1
C1247,20,340.62,0,1,1,0,1
C1248,46,205.23,1,0,0,1,1
C1249,19,238.54,1,1,0,0,1
C1250,25,482.89,1,1,0,1,1
C1251,41,195.36,0,0,0,0,1
C1252,49,78.7,0,1,1,0,1
C1253,45,346.89,1,0,0,1,1
C1254,2,358.44,0,1,1,0,1
C1255,30,306.95,1,1,0,0,1
C1256,41,315.83,0,0,1,1,1
C1257,53,78.57,1,1,1,0,0
C1258,2,68.98,1,0,1,0,1
C1259,41,348.53,0,0,1,1,1
C1260,40,280.47,1,1,0,0,1
C1261,16,232.41,0,0,1,1,1
C1262,17,346.05,0,0,0,0,1
C1263,20,213.72,0,0,0,1,1
C1264,50,445.49,0,1,1,1,1
C1265,11,91.3,1,0,1,1,1
C1266,1,393.78,0,1,0,1,1
C1267,60,468.74,1,1,1,1,1
C1268,31,299.65,1,1,0,1,1
C1269,4,262.35,0,1,1,0,1
C1270,38,201.14,0,0,1,0,1
C1271,17,343.16,0,0,0,0,1
C1272,22,173.0,1,1,1,0,1
C1273,2,101.51,1,1,0,0,0
C1274,53,488.81,1,0,0,0,1
C1275,3,492.38,1,0,0,0,1
C1276,57,181.42,0,0,0,0,0
C1277,28,472.61,0,1,1,1,1
C1278,27,439.2,1,0,1,1,1
C1279,9,77.39,1,0,1,1,1
C1280,54,63.86,1,0,1,1,1
C1281,36,225.83,0,0,1,1,1
C1282,4,354.95,0,0,1,1,1
C1283,28,292.34,0,0,1,1,0
C1284,49,233.71,0,1,1,0,1
C1285,45,265.28,0,0,1,1,1
C1286,8,64.91,0,0,1,0,0
C1287,38,125.64,0,1,1,1,0
C1288,41,438.4,1,0,1,1,1
C1289,35,254.66,0,0,0,0,1
C1290,21,211.5,1,0,1,0,0
C1291,52,383.35,1,0,1,1,1
C1292,26,95.45,0,1,0,1,1
C1293,17,214.84,1,1,0,1,1
C1294,58,52.71,0,1,1,0,1
C1295,5,365.28,1,1,1,0,1
C1296,29,221.59,1,0,1,1,1
C1297,54,382.84,0,1,1,0,1
C1298,38,490.99,0,0,1,0,1
C1299,36,194.0,0,0,1,1,1
C1300,48,21.21,0,0,1,1,0
